date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:17:57	122/122	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	date:Tue,%2029%20Sep%202020%2018:17:55%20GMT	http://oakleafscouts.com/robots.txt		(from )
14:18:01	84682/84682	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Sep%202020%2018:17:56%20GMT	http://oakleafscouts.com/	oakleafscouts.com/index.html	(from )
14:18:01	4540/4540	---M-Z	200	added ('OK')	text/css	date:Thu,%2012%20Sep%202019%2014:25:29%20GMT	http://oakleafscouts.com/wp-content/plugins/the-events-calendar/common/src/resources/css/reset.min.css?ver=4.9.16	oakleafscouts.com/wp-content/plugins/the-events-calendar/common/src/resources/css/reset.min8d9d.css	(from http://oakleafscouts.com/)
14:18:02	36770/36770	---M-Z	200	added ('OK')	text/css	date:Thu,%2012%20Sep%202019%2014:25:29%20GMT	http://oakleafscouts.com/wp-content/plugins/the-events-calendar/common/src/resources/css/common.min.css?ver=4.9.16	oakleafscouts.com/wp-content/plugins/the-events-calendar/common/src/resources/css/common.min8d9d.css	(from http://oakleafscouts.com/)
14:18:03	1635/1635	---M-Z	200	added ('OK')	text/css	date:Thu,%2012%20Sep%202019%2014:25:29%20GMT	http://oakleafscouts.com/wp-content/plugins/the-events-calendar/common/src/resources/css/tooltip.min.css?ver=4.9.16	oakleafscouts.com/wp-content/plugins/the-events-calendar/common/src/resources/css/tooltip.min8d9d.css	(from http://oakleafscouts.com/)
14:18:04	257/257	---M-Z	200	added ('OK')	text/calendar	date:Tue,%2029%20Sep%202020%2018:18:02%20GMT	http://oakleafscouts.com/events/?ical=1	oakleafscouts.com/events/indexedf3.html	(from http://oakleafscouts.com/)
14:18:04	1246/1246	---MC-	200	added ('OK')	application/rss+xml	etag:%2221b619639ef5b762190ab5b55729a6c1%22	http://oakleafscouts.com/feed/	oakleafscouts.com/feed/index.html	(from http://oakleafscouts.com/)
14:18:04	834/834	---MC-	200	added ('OK')	application/rss+xml	etag:%2225b316670856d8bb85c5cbd79815056f%22	http://oakleafscouts.com/comments/feed/	oakleafscouts.com/comments/feed/index.html	(from http://oakleafscouts.com/)
14:18:04	29295/29295	---M-Z	200	added ('OK')	text/css	date:Sat,%2017%20Aug%202019%2023:13:50%20GMT	http://oakleafscouts.com/wp-includes/css/dist/block-library/style.min.css?ver=5.2.7	oakleafscouts.com/wp-includes/css/dist/block-library/style.min6e7a.css	(from http://oakleafscouts.com/)
14:18:05	1495/1495	---M-Z	200	added ('OK')	text/css	date:Sat,%2017%20Aug%202019%2023:13:50%20GMT	http://oakleafscouts.com/wp-includes/css/dist/block-library/theme.min.css?ver=5.2.7	oakleafscouts.com/wp-includes/css/dist/block-library/theme.min6e7a.css	(from http://oakleafscouts.com/)
14:18:06	0/0	---M--	200	added ('OK')	text/css	date:Thu,%2011%20Jun%202020%2000:35:14%20GMT	http://oakleafscouts.com/wp-content/plugins/wp-travel/inc/coupon/assets/css/wp-travel-coupons-frontend.min.css?ver=5.2.7	oakleafscouts.com/wp-content/plugins/wp-travel/inc/coupon/assets/css/wp-travel-coupons-frontend.min6e7a.css	(from http://oakleafscouts.com/)
14:18:07	47558/47558	---M-Z	200	added ('OK')	text/css	date:Sat,%2017%20Aug%202019%2023:13:50%20GMT	http://oakleafscouts.com/wp-includes/css/dashicons.min.css?ver=5.2.7	oakleafscouts.com/wp-includes/css/dashicons.min6e7a.css	(from http://oakleafscouts.com/)
14:18:09	176399/176399	---M-Z	200	added ('OK')	text/css	date:Thu,%2011%20Jun%202020%2000:35:14%20GMT	http://oakleafscouts.com/wp-content/plugins/wp-travel/assets/css/wp-travel-front-end.min.css?ver=4.0.2	oakleafscouts.com/wp-content/plugins/wp-travel/assets/css/wp-travel-front-end.min05da.css	(from http://oakleafscouts.com/)
14:18:09	5204/5204	---M-Z	200	added ('OK')	text/css	date:Thu,%2011%20Jun%202020%2000:35:13%20GMT	http://oakleafscouts.com/wp-content/plugins/wp-travel/assets/css/magnific-popup.min.css?ver=4.0.2	oakleafscouts.com/wp-content/plugins/wp-travel/assets/css/magnific-popup.min05da.css	(from http://oakleafscouts.com/)
14:18:10	2165/2165	---M-Z	200	added ('OK')	text/css	date:Thu,%2011%20Jun%202020%2000:35:13%20GMT	http://oakleafscouts.com/wp-content/plugins/wp-travel/assets/css/easy-responsive-tabs.min.css?ver=4.0.2	oakleafscouts.com/wp-content/plugins/wp-travel/assets/css/easy-responsive-tabs.min05da.css	(from http://oakleafscouts.com/)
14:18:11	2378/2378	---M-Z	200	added ('OK')	text/css	date:Thu,%2011%20Jun%202020%2000:35:14%20GMT	http://oakleafscouts.com/wp-content/plugins/wp-travel/assets/css/wp-travel-itineraries.min.css?ver=4.0.2	oakleafscouts.com/wp-content/plugins/wp-travel/assets/css/wp-travel-itineraries.min05da.css	(from http://oakleafscouts.com/)
14:18:12	50518/50518	---M-Z	200	added ('OK')	text/css	date:Thu,%2011%20Jun%202020%2000:35:13%20GMT	http://oakleafscouts.com/wp-content/plugins/wp-travel/assets/css/lib/font-awesome/css/fontawesome-all.min.css?ver=4.0.2	oakleafscouts.com/wp-content/plugins/wp-travel/assets/css/lib/font-awesome/css/fontawesome-all.min05da.css	(from http://oakleafscouts.com/)
14:18:13	57648/57648	---M-Z	200	added ('OK')	text/css	date:Thu,%2011%20Jun%202020%2000:35:13%20GMT	http://oakleafscouts.com/wp-content/plugins/wp-travel/assets/css/lib/font-awesome/css/wp-travel-fa-icons.min.css?ver=4.0.2	oakleafscouts.com/wp-content/plugins/wp-travel/assets/css/lib/font-awesome/css/wp-travel-fa-icons.min05da.css	(from http://oakleafscouts.com/)
14:18:14	13036/13036	---M-Z	200	added ('OK')	text/css	date:Thu,%2011%20Jun%202020%2000:35:14%20GMT	http://oakleafscouts.com/wp-content/plugins/wp-travel/assets/css/wp-travel-user-styles.min.css?ver=4.0.2	oakleafscouts.com/wp-content/plugins/wp-travel/assets/css/wp-travel-user-styles.min05da.css	(from http://oakleafscouts.com/)
14:18:15	12257/12257	---M-Z	200	added ('OK')	text/css	date:Thu,%2011%20Jun%202020%2000:35:13%20GMT	http://oakleafscouts.com/wp-content/plugins/wp-travel/assets/css/lib/datepicker/datepicker.min.css?ver=4.0.2	oakleafscouts.com/wp-content/plugins/wp-travel/assets/css/lib/datepicker/datepicker.min05da.css	(from http://oakleafscouts.com/)
